0.206	-0.0110918	-0.0121408	0.853041	-0.0116247	-0.0121563	0.853338	0.15	-0.012	0.65
0.207	-0.0110683	-0.0121408	0.853016	-0.0116212	-0.0121563	0.853336	0.15	-0.012	0.65
0.208	-0.0110444	-0.0121407	0.85299	-0.0116176	-0.0121563	0.853334	0.15	-0.012	0.65
0.209	-0.0110201	-0.0121407	0.852964	-0.0116138	-0.0121563	0.853332	0.15	-0.012	0.65
0.21	-0.0109953	-0.0121407	0.852938	-0.0116099	-0.0121562	0.85333	0.15	-0.012	0.65
0.211	-0.0109701	-0.0121407	0.852911	-0.0116057	-0.0121562	0.853327	0.15	-0.012	0.65
0.212	-0.0109444	-0.0121407	0.852883	-0.0116014	-0.0121562	0.853325	0.15	-0.012	0.65
0.213	-0.0109183	-0.0121407	0.852855	-0.0115968	-0.0121561	0.853322	0.15	-0.012	0.65
0.214	-0.0108917	-0.0121407	0.852827	-0.0115921	-0.012156	0.853319	0.15	-0.012	0.65
0.215	-0.0108648	-0.0121407	0.852798	-0.0115872	-0.0121559	0.853316	0.15	-0.012	0.65
0.216	-0.0108373	-0.0121406	0.852769	-0.0115821	-0.0121559	0.853313	0.15	-0.012	0.65
0.217	-0.0108095	-0.0121406	0.852739	-0.0115768	-0.0121558	0.85331	0.15	-0.012	0.65
0.218	-0.0107811	-0.0121406	0.852708	-0.0115713	-0.0121557	0.853306	0.15	-0.012	0.65
0.219	-0.0107524	-0.0121406	0.852678	-0.0115656	-0.0121556	0.853302	0.15	-0.012	0.65
0.22	-0.0107232	-0.0121406	0.852646	-0.0115598	-0.0121555	0.853298	0.15	-0.012	0.65
0.221	-0.0106936	-0.0121406	0.852615	-0.0115536	-0.0121554	0.853294	0.15	-0.012	0.65
0.222	-0.0106635	-0.0121406	0.852582	-0.0115474	-0.0121553	0.85329	0.15	-0.012	0.65
0.223	-0.010633	-0.0121406	0.85255	-0.0115408	-0.0121552	0.853285	0.15	-0.012	0.65
0.224	-0.0106021	-0.0121405	0.852517	-0.0115339	-0.0121551	0.85328	0.15	-0.012	0.65
0.225	-0.0105708	-0.0121405	0.852483	-0.0115268	-0.0121549	0.853275	0.15	-0.012	0.65
0.226	-0.010539	-0.0121405	0.852449	-0.0115194	-0.0121548	0.85327	0.15	-0.012	0.65
0.227	-0.0105067	-0.0121405	0.852415	-0.0115119	-0.0121547	0.853264	0.15	-0.012	0.65
0.228	-0.0104741	-0.0121405	0.85238	-0.0115041	-0.0121546	0.853259	0.15	-0.012	0.65
0.229	-0.010441	-0.0121405	0.852344	-0.0114961	-0.0121544	0.853253	0.15	-0.012	0.65
0.23	-0.0104074	-0.0121405	0.852308	-0.0114877	-0.0121543	0.853246	0.15	-0.012	0.65
0.231	-0.0103735	-0.0121404	0.852272	-0.0114792	-0.0121542	0.85324	0.15	-0.012	0.65
0.232	-0.0103391	-0.0121404	0.852235	-0.0114704	-0.0121541	0.853233	0.15	-0.012	0.65
0.233	-0.0103042	-0.0121404	0.852198	-0.0114613	-0.0121539	0.853226	0.15	-0.012	0.65
0.234	-0.010269	-0.0121404	0.85216	-0.011452	-0.0121538	0.853218	0.15	-0.012	0.65
0.235	-0.0102333	-0.0121404	0.852122	-0.0114425	-0.0121537	0.853211	0.15	-0.012	0.65
0.236	-0.0101971	-0.0121404	0.852083	-0.0114325	-0.0121536	0.853203	0.15	-0.012	0.65
0.237	-0.0101606	-0.0121403	0.852044	-0.0114224	-0.0121534	0.853194	0.15	-0.012	0.65
0.238	-0.0101236	-0.0121403	0.852004	-0.011412	-0.0121533	0.853186	0.15	-0.012	0.65
0.239	-0.0100862	-0.0121403	0.851964	-0.0114013	-0.0121531	0.853177	0.15	-0.012	0.65
0.24	-0.0100484	-0.0121403	0.851924	-0.0113903	-0.012153	0.853167	0.15	-0.012	0.65
0.241	-0.0100101	-0.0121403	0.851883	-0.0113791	-0.0121528	0.853158	0.15	-0.012	0.65
