0.182	-0.0115714	-0.0121458	0.853456	-0.0116674	-0.0121587	0.853309	0.00120021	0.00016208	0.00183921	0.000603067	-0.000322427	-0.0056852	8.05855e-05	-1.05792	0.000325441	-1.58893	-0.00256062	0.529479	-0.001683
0.183	-0.011561	-0.0121458	0.853445	-0.0116668	-0.012159	0.853304	0.00132197	0.000165829	0.00176584	0.000660684	-0.00029511	-0.00526264	8.05855e-05	-1.05794	0.000325918	-1.58895	-0.00256491	0.529489	-0.00168586
0.184	-0.0115502	-0.0121458	0.853433	-0.0116662	-0.0121593	0.853299	0.00145006	0.00016924	0.00168249	0.000610077	-0.000267809	-0.00495204	8.05855e-05	-1.05795	0.000326395	-1.58898	-0.00256896	0.529498	-0.00168848
0.185	-0.0115388	-0.0121458	0.853421	-0.0116655	-0.0121595	0.853294	0.00158378	0.000172313	0.00158825	0.000616364	-0.000240507	-0.00456998	8.05855e-05	-1.05796	0.000326872	-1.589	-0.00257277	0.529506	-0.00169086
0.186	-0.0115271	-0.0121458	0.853409	-0.0116648	-0.0121597	0.85329	0.00172158	0.000174634	0.00148499	0.000746149	-0.000180198	-0.00433511	8.05855e-05	-1.05798	0.000327349	-1.58902	-0.00257611	0.529514	-0.00169325
0.187	-0.0115148	-0.0121457	0.853396	-0.0116639	-0.0121599	0.853286	0.00186344	0.000176617	0.00137081	0.000876468	-0.000152885	-0.00395023	8.05855e-05	-1.05799	0.000327826	-1.58905	-0.00257921	0.529522	-0.00169539
0.188	-0.0115022	-0.0121457	0.853382	-0.0116629	-0.0121601	0.853282	0.00200965	0.000179595	0.00124774	0.00098327	-0.000232305	-0.00372472	8.05855e-05	-1.058	0.000328064	-1.58906	-0.00258207	0.529529	-0.0016973
0.189	-0.011489	-0.0121457	0.853368	-0.0116621	-0.0121603	0.853279	0.00216393	0.000182234	0.00111484	0.000792418	-0.00020502	-0.0034252	8.05855e-05	-1.05801	0.000328302	-1.58908	-0.0025847	0.529537	-0.00169897
0.19	-0.0114754	-0.0121457	0.853354	-0.0116612	-0.0121605	0.853276	0.00232138	0.000184499	0.000973381	0.000992396	-0.000174852	-0.00322656	8.05855e-05	-1.05802	0.000328541	-1.5891	-0.00258708	0.529544	-0.00170064
0.191	-0.0114614	-0.0121457	0.853339	-0.0116601	-0.0121606	0.853273	0.00248423	0.000186426	0.000822447	0.00101449	-0.000147555	-0.00295364	8.05855e-05	-1.05802	0.000328779	-1.58912	-0.00258923	0.52955	-0.00170207
0.192	-0.0114469	-0.0121457	0.853323	-0.011659	-0.0121608	0.85327	0.00265095	0.000188014	0.000663669	0.0011575	-0.000120255	-0.00281098	8.05855e-05	-1.05803	0.000329018	-1.58913	-0.00259113	0.529557	-0.00170326
0.193	-0.011432	-0.0121457	0.853307	-0.0116579	-0.0121608	0.853267	0.0028248	0.000189228	0.000495757	0.00103944	-9.01086e-05	-0.00256466	8.05855e-05	-1.05804	0.000329256	-1.58915	-0.0025928	0.529564	-0.00170445
0.194	-0.0114166	-0.0121457	0.853291	-0.0116565	-0.0121609	0.853265	0.00299985	0.000190103	0.000320346	0.00139539	-6.27965e-05	-0.00244861	8.05855e-05	-1.05804	0.000329494	-1.58916	-0.00259423	0.52957	-0.00170541
0.195	-0.0114007	-0.0121457	0.853274	-0.0116552	-0.012161	0.853263	0.00318163	0.00019098	0.000136864	0.00130961	-6.27917e-05	-0.00228619	8.05855e-05	-1.05805	0.000329733	-1.58917	-0.00259566	0.529576	-0.00170636
